,Unnamed: 0,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count,tconst,primary_title,start_year,runtime_minutes,G1,G2,G3,id_budg,release_date_budg,production_budget,domestic_gross,worldwide_gross,release_month
Alpha,23867,"[12, 18]",399360,en,24.535999999999998,2018-08-17,5.9,1167,tt6313896,Alpha,2016.0,90.0,Crime,Drama,Fantasy,79,"Aug 17, 2018",51000000,35851379,99624873,8
Alvin and the Chipmunks: Chipwrecked,2550,"[35, 14, 10751, 10402, 16]",55301,en,12.672,2011-12-16,5.5,1055,tt1615918,Alvin and the Chipmunks: Chipwrecked,2011.0,87.0,Adventure,Animation,Comedy,49,"Dec 16, 2011",80000000,133107389,349088523,12
Alvin and the Chipmunks: The Road Chip,14235,"[12, 16, 35, 10751]",258509,en,14.972999999999999,2015-12-18,5.8,852,tt2974918,Alvin and the Chipmunks: The Road Chip,2015.0,92.0,Adventure,Animation,Comedy,56,"Dec 18, 2015",90000000,85886987,249517956,12
American Assassin,20703,"[28, 53]",415842,en,15.434000000000001,2017-09-15,6.3,1596,tt1961175,American Assassin,2017.0,112.0,Action,Thriller,,28,"Sep 15, 2017",63000000,36249674,68310140,9
American Heist,14511,[28],250066,en,7.271,2015-07-14,4.6,213,tt2923316,American Heist,2014.0,94.0,Action,Crime,Drama,35,"Jul 21, 2015",10000000,0,2341218,7
American Hero,14598,"[28, 35, 878]",367551,en,6.56,2015-12-11,5.0,93,tt2414176,American Hero,2012.0,86.18724706088021,Music,,,3,"Dec 11, 2015",1000000,0,26,12
American Hero,14598,"[28, 35, 878]",367551,en,6.56,2015-12-11,5.0,93,tt4733536,American Hero,2015.0,86.0,Action,Comedy,Drama,3,"Dec 11, 2015",1000000,0,26,12
American Honey,17662,[18],340485,en,8.777999999999999,2016-09-30,6.7,417,tt3721936,American Honey,2016.0,163.0,Adventure,Drama,Romance,15,"Sep 30, 2016",3500000,663247,2611750,9
American Hustle,7968,"[18, 80]",168672,en,12.481,2013-12-12,6.8,4443,tt1800241,American Hustle,2013.0,138.0,Crime,Drama,,80,"Dec 13, 2013",40000000,150117807,257878294,12
American Made,20681,"[28, 80]",337170,en,16.748,2017-09-29,6.7,2188,tt3532216,American Made,2017.0,115.0,Action,Biography,Comedy,32,"Sep 29, 2017",50000000,51342000,135569212,9
American Reunion,5205,[35],71552,en,17.199,2012-04-06,6.2,2679,tt1605630,American Reunion,2012.0,113.0,Comedy,,,26,"Apr 6, 2012",50000000,56758835,236799211,4
